id,name
hCoV_19_Wuhan_IVDC_HB_05_2019,B - China-Asia - 1
hCoV_19_England_01_2020,B - United Kingdom-Europe - 2
hCoV_19_Mexico_CMX_InDRE_01_2020,B.1.1 - Mexico-North America - 3
hCoV_19_Singapore_14Clin_2020,B - Singapore-Asia - 2
hCoV_19_USA_MD_HP00010_2020,B.1 - USA-North America - 3
hCoV_19_Thailand_Nakhonnayok_2829_2020,A.6 - Thailand-Asia - 3
hCoV_19_Canada_NB_219_2020,B.1 - Canada-North America - 4
hCoV_19_Bangladesh_BCSIR_NILMRC_262_2020,B.1.1.25 - Bangladesh-Asia - 7
hCoV_19_USA_WA_S2710_2020,B.1 - USA-North America - 6
hCoV_19_England_QEUH_9C9DF4_2020,B.1.177 - United Kingdom-Europe - 9
hCoV_19_India_DL_ILBS_279M_2020,B.6 - India-Asia - 5
hCoV_19_Germany_NW_HHU_321_2020,B.1.1.297 - Germany-Europe - 10
